date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:14	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Feb%202021%2010:37:13%20GMT	http://www.vaak.xyz/robots.txt		(from )
13:37:14	4210/4210	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Feb%202021%2021:52:43%20GMT	http://www.vaak.xyz/?fbclid=IwAR1s3z756RAOkkWAk6FS8sdPMJ4nu1lXSIeA15IYPfWU3ZRImh6lsZiGsrw	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/indexe2c2.html	(from )
13:37:15	4330/4330	---M--	200	added ('OK')	image/png	etag:%2210ea-5a89bd7bda5f7%22	https://www.kurdstore.tk/tele.png	C:/My%20Web%20Sites/awatcrack/www.kurdstore.tk/tele.png	(from http://www.vaak.xyz/?fbclid=IwAR1s3z756RAOkkWAk6FS8sdPMJ4nu1lXSIeA15IYPfWU3ZRImh6lsZiGsrw)
13:37:15	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Feb%202021%2010:37:15%20GMT	http://www.vaak.xyz/cdn-cgi/apps/head/lux7W-yIVYuBEjf5Yl8wHpmUNZI.js	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/cdn-cgi/apps/head/lux7W-yIVYuBEjf5Yl8wHpmUNZI.3.delayed	(from http://www.vaak.xyz/?fbclid=IwAR1s3z756RAOkkWAk6FS8sdPMJ4nu1lXSIeA15IYPfWU3ZRImh6lsZiGsrw)
13:37:16	18028/18028	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Jan%202021%2019:11:12%20GMT	http://www.vaak.xyz/assets/css/index.css	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/assets/css/index.css	(from http://www.vaak.xyz/?fbclid=IwAR1s3z756RAOkkWAk6FS8sdPMJ4nu1lXSIeA15IYPfWU3ZRImh6lsZiGsrw)
13:37:16	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Feb%202021%2010:37:16%20GMT	http://www.vaak.xyz/modal.css	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/modal.css	(from http://www.vaak.xyz/?fbclid=IwAR1s3z756RAOkkWAk6FS8sdPMJ4nu1lXSIeA15IYPfWU3ZRImh6lsZiGsrw)
13:37:16	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Feb%202021%2010:37:16%20GMT	http://www.vaak.xyz/pagead2.googlesyndication.com/pagead/js/f.txt	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://www.vaak.xyz/?fbclid=IwAR1s3z756RAOkkWAk6FS8sdPMJ4nu1lXSIeA15IYPfWU3ZRImh6lsZiGsrw)
13:37:18	89730/89730	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2019:35:32%20GMT	http://www.vaak.xyz/assets/icon/icon.png	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/assets/icon/icon.png	(from http://www.vaak.xyz/?fbclid=IwAR1s3z756RAOkkWAk6FS8sdPMJ4nu1lXSIeA15IYPfWU3ZRImh6lsZiGsrw)
13:37:19	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Feb%202021%2010:37:18%20GMT	http://www.vaak.xyz/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/assets/css/font-awesome.min.css	(from http://www.vaak.xyz/assets/css/index.css)
13:37:19	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Feb%202021%2010:37:19%20GMT	http://www.vaak.xyz/assets/css/rasm/oo.png	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/assets/css/rasm/oo.png	(from http://www.vaak.xyz/assets/css/index.css)
13:37:24	133777/133777	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jan%202021%2007:39:56%20GMT	http://www.vaak.xyz/assets/css/rasm/bg.jpg	C:/My%20Web%20Sites/awatcrack/www.vaak.xyz/assets/css/rasm/bg.jpg	(from http://www.vaak.xyz/assets/css/index.css)
