date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:31	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5eb3b47c-19bcdbebc1d1625c;gz%22	https://safeenkurd.info/robots.txt		(from )
20:17:32	201710/201710	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Feb%202021%2017:17:31%20GMT	https://safeenkurd.info/	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/index.html	(from )
20:17:32	104033/104033	---M-Z	200	added ('OK')	text/css	etag:%2219661-5d814edd-8261853a1f9e0a2f;gz%22	https://safeenkurd.info/vendor/onsenui/css/onsen-css-components.min.css	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/vendor/onsenui/css/onsen-css-components.min.css	(from https://safeenkurd.info/)
20:17:32	16154/16154	---M-Z	200	added ('OK')	text/css	etag:%223f1a-5d814edd-c4b57c807616653f;gz%22	https://safeenkurd.info/vendor/onsenui/css/onsenui.css	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/vendor/onsenui/css/onsenui.css	(from https://safeenkurd.info/)
20:17:33	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/awatcrack/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://safeenkurd.info/)
20:17:33	326910/326910	---M-Z	200	added ('OK')	application/x-javascript	etag:%224fcfe-5d814edd-52de3f70a48dbf08;gz%22	https://safeenkurd.info/vendor/onsenui/js/onsenui.min.js	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/vendor/onsenui/js/onsenui.min.js	(from https://safeenkurd.info/)
20:17:33	628512/628512	---M-Z	200	added ('OK')	text/css	etag:%2299720-5d814edd-1b816559a541a13;gz%22	https://safeenkurd.info/vendor/semantic.min.css	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/vendor/semantic.min.css	(from https://safeenkurd.info/)
20:17:34	275730/275730	---M-Z	200	added ('OK')	application/x-javascript	etag:%2243512-5d814edd-94616035dccd659b;gz%22	https://safeenkurd.info/vendor/semantic.min.js	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/vendor/semantic.min.js	(from https://safeenkurd.info/)
20:17:34	907/907	---M-Z	200	added ('OK')	text/css	etag:%2238b-5d814ede-79d899f74ed9c8f2;gz%22	https://safeenkurd.info/vendor/style.css	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/vendor/style.css	(from https://safeenkurd.info/)
20:17:34	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e283%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	C:/My%20Web%20Sites/awatcrack/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	(from https://safeenkurd.info/)
20:17:34	65/65	---M--	200	added ('OK')	application/x-javascript	etag:%2241-5fc60148-d26a57c164691eca;;;%22	https://safeenkurd.info/control/app.js	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/control/app.js	(from https://safeenkurd.info/)
20:17:35	238730/238730	---M--	200	added ('OK')	image/png	etag:%223a48a-5d814edd-e937faeddb0c9d94;;;%22	https://safeenkurd.info/dist/icons/apple_kurd.png	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/apple_kurd.png	(from https://safeenkurd.info/)
20:17:35	137558/137558	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Feb%202021%2017:17:35%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/awatcrack/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://safeenkurd.info/)
20:17:35	198754/198754	---M--	200	added ('OK')	image/jpeg	etag:%2230862-5d814edc-1010a76910adad1b;;;%22	https://safeenkurd.info/dist/icons/apple_kurd.jpg	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/apple_kurd.jpg	(from https://safeenkurd.info/)
20:17:36	209283/209283	---M--	200	added ('OK')	image/jpeg	etag:%2233183-5d814edc-5ddf00c58632eafa;;;%22	https://www.safeenkurd.info/img/appleKurdStore1.jpg	C:/My%20Web%20Sites/awatcrack/www.safeenkurd.info/img/appleKurdStore1.jpg	(from https://safeenkurd.info/)
20:17:36	20286/20286	---M--	200	added ('OK')	text/javascript	etag:%223a246c5b9b5e775b%22	https://cdn.ampproject.org/v0/amp-auto-ads-0.1.js	C:/My%20Web%20Sites/awatcrack/cdn.ampproject.org/v0/amp-auto-ads-0.1.js	(from https://safeenkurd.info/)
20:17:36	36199/36199	---M--	200	added ('OK')	image/png	etag:%228d67-5d814edd-eaa996fa928bef01;;;%22	https://safeenkurd.info/dist/icons/insta.png	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/insta.png	(from https://safeenkurd.info/)
20:17:36	6586/6586	---M--	200	added ('OK')	image/png	etag:%2219ba-5d814edd-cc86bee1d67dbc8b;;;%22	https://safeenkurd.info/dist/icons/fb.png	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/fb.png	(from https://safeenkurd.info/)
20:17:37	3666/3666	---M--	200	added ('OK')	image/png	etag:%22e52-5d814edd-c66f5376347d2cd1;;;%22	https://safeenkurd.info/dist/icons/you.png	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/you.png	(from https://safeenkurd.info/)
20:17:37	14141/14141	---MCZ	200	added ('OK')	application/javascript	etag:W/%22601a730d-373d%22	https://choupsee.com/pfe/current/tag.min.js?z=3874597	C:/My%20Web%20Sites/awatcrack/choupsee.com/pfe/current/tag.min37da.js	(from https://safeenkurd.info/)
20:17:37	22033/22033	---M--	200	added ('OK')	image/png	etag:%225611-5d814edc-ed0c1d550bae7efe;;;%22	https://safeenkurd.info/dist/icons/wh.png	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/wh.png	(from https://safeenkurd.info/)
20:17:38	82772/82772	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Jan%202021%2010:53:18%20GMT	https://iclickcdn.com/tag.min.js	C:/My%20Web%20Sites/awatcrack/iclickcdn.com/tag.min.js	(from https://safeenkurd.info/)
20:17:38	70850/70850	---M--	200	added ('OK')	image/png	etag:%225bc7617f-114c2%22	https://content.app-valley.vip/icon/1345.png	C:/My%20Web%20Sites/awatcrack/content.app-valley.vip/icon/1345.png	(from https://safeenkurd.info/)
20:17:40	44993/44993	---M--	200	added ('OK')	image/jpeg	etag:%22afc1-5d814edc-4b6d1a07f3c89d79;;;%22	https://safeenkurd.info/dist/icons/cutecut.jpg	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/cutecut.jpg	(from https://safeenkurd.info/)
20:17:40	1388052/1388052	---M--	200	added ('OK')	image/png	etag:%22152e14-5d814edd-bfcc7cc9d79276ec;;;%22	https://safeenkurd.info/dist/icons/PubgHack.png	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/PubgHack.png	(from https://safeenkurd.info/)
20:17:40	22894/22894	---M--	200	added ('OK')	image/png	etag:%22596e-5d814edc-2bd991ba22270a62;;;%22	https://safeenkurd.info/dist/icons/kinemaster.png	C:/My%20Web%20Sites/awatcrack/safeenkurd.info/dist/icons/kinemaster.png	(from https://safeenkurd.info/)
